"SUID","interaction","name","selected","shared interaction","shared name"
"383","None","ZN318_HUMAN (None) SUMO2_HUMAN","false","None","ZN318_HUMAN (None) SUMO2_HUMAN"
"384","None","ZN318_HUMAN (None) HDAC2_HUMAN","false","None","ZN318_HUMAN (None) HDAC2_HUMAN"
"385","None","Z280C_HUMAN (None) SUMO2_HUMAN","false","None","Z280C_HUMAN (None) SUMO2_HUMAN"
"386","None","Z280C_HUMAN (None) LMNA_HUMAN","false","None","Z280C_HUMAN (None) LMNA_HUMAN"
"387","None","XRN2_HUMAN (None) SCFD1_HUMAN","false","None","XRN2_HUMAN (None) SCFD1_HUMAN"
"388","None","XRN2_HUMAN (None) Q6FIE9_HUMAN","false","None","XRN2_HUMAN (None) Q6FIE9_HUMAN"
"389","None","ZC3H4_HUMAN (None) DREB_HUMAN","false","None","ZC3H4_HUMAN (None) DREB_HUMAN"
"390","None","WIZ_HUMAN (None) ZC3H4_HUMAN","false","None","WIZ_HUMAN (None) ZC3H4_HUMAN"
"391","None","WIZ_HUMAN (None) SUMO2_HUMAN","false","None","WIZ_HUMAN (None) SUMO2_HUMAN"
"392","None","WIZ_HUMAN (None) HDAC2_HUMAN","false","None","WIZ_HUMAN (None) HDAC2_HUMAN"
"393","None","WDR70_HUMAN (None) LMNA_HUMAN","false","None","WDR70_HUMAN (None) LMNA_HUMAN"
"394","Unknown","WAPL_HUMAN (Unknown) WAP53_HUMAN","false","Unknown","WAPL_HUMAN (Unknown) WAP53_HUMAN"
"395","None","TRI25_HUMAN (None) SNUT2_HUMAN","false","None","TRI25_HUMAN (None) SNUT2_HUMAN"
"396","None","TRI25_HUMAN (None) RNF31_HUMAN","false","None","TRI25_HUMAN (None) RNF31_HUMAN"
"397","None","TRI25_HUMAN (None) DDX58_HUMAN","false","None","TRI25_HUMAN (None) DDX58_HUMAN"
"398","None","TOM1_HUMAN (None) ZFY16_HUMAN","false","None","TOM1_HUMAN (None) ZFY16_HUMAN"
"399","None","TOM1_HUMAN (None) Q6FIE9_HUMAN","false","None","TOM1_HUMAN (None) Q6FIE9_HUMAN"
