Protein	NodeType	ReferencePathway	SigPeptide1	SigPeptide2	SigPeptide3	SigPeptide4	SigPeptide5	SigPeptide6	InsigPeptide1	InsigPeptide2	InsigPeptide3	InsigPeptide4	InsigPeptide5	InsigPeptide6	InsigPeptide7	InsigPeptide8	InsigPeptide9	InsigPeptide10	
1433G_HUMAN	Steiner	false																
1433Z_HUMAN	InsigPrize	false							0, 0.023497, 0.027113, -0.015028, -0.119385, 0.077481, 0.091344, 0.132477									
41_HUMAN	SigPrize	false	0, 0.36918, -0.088325, -0.493456, -0.706793, -0.478621, -0.351797, -0.460713						0, 0.525056, 0.405297, 0.060709, 0.327423, 0.391981, 0.128159, -0.053423									
4ET_HUMAN	Excluded	false	0, 0.106206, 0.314831, 1.052917, 1.225798, 1.316124, 1.24108, 1.53411															
A8K031_HUMAN	Steiner	false																
A8K1N6_HUMAN	Excluded	false							0, 0.361995, 0.454151, 0.727406, 0.922806, 0.966134, 1.154356, 1.323518									
A9CQZ4_HUMAN	Excluded	false							0, 0.423512, 0.01204, 0.360106, -0.253951, -0.007246, 0.139175, -0.451037									
AAGAB_HUMAN	Excluded	false							0, -0.112214, -0.279564, -0.26283, -0.264034, -0.257633, -0.188709, -0.061861									
ABCF1_HUMAN	InsigPrize	false							0, 0.114062, 0.100437, 0.238339, -0.318362, 0.035609, -0.021828, 0.224395	0, -0.349812, -0.376517, -0.438526, -0.514024, -0.676012, -0.416093, -0.139128	0, 0.199483, -0.583729, 0.296696, -0.328021, -0.221115, -0.274435, -0.369541	0, -0.011472, -0.017717, 0.044271, -0.074732, -0.176811, -0.367159, -0.032754						
ABI1_HUMAN	SigPrize	true	0, 0.545919, -0.354509, -0.198775, -0.226495, -0.143123, -0.101186, -0.154907						0, -0.231206, 0.19849, 0.075835, -0.638149, -0.045637, -0.221096, -0.550908									
ABI2_HUMAN	SigPrize	false	0, 1.864895, 1.47184, 0.663553, 0.397261, -0.049933, 0.033382, -0.314928															
ABL2_HUMAN	Steiner	false																
ABLM1_HUMAN	InsigPrize	false							0, -0.524963, 0.279713, -0.463528, -0.277297, -0.123011, -0.171859, -0.226378									
ACACA_HUMAN	Excluded	false							0, -0.390106, -0.105209, -0.351963, -0.101999, -0.048687, 0.11109, 0.246208									
ACAP2_HUMAN	Excluded	false	0, -0.317067, -0.029905, -0.457364, 0.048843, 0.309424, 0.39054, 0.15701															
