"SUID","ActivitySummary128Min","ActivitySummary16Min","ActivitySummary2Min","ActivitySummary32Min","ActivitySummary4Min","ActivitySummary64Min","ActivitySummary8Min","FirstActive","Gene","HeatMapBg1","HeatMapBg2","HeatMapBg3","HeatMapBg4","HeatMapBg5","HeatMapBg6","InsigPeptide10Log2FC","InsigPeptide1Log2FC","InsigPeptide2Log2FC","InsigPeptide3Log2FC","InsigPeptide4Log2FC","InsigPeptide5Log2FC","InsigPeptide6Log2FC","InsigPeptide7Log2FC","InsigPeptide8Log2FC","InsigPeptide9Log2FC","name","NodeType","Protein","ReferenceEGFR","selected","shared name","SigPeptide1Log2FC","SigPeptide2Log2FC","SigPeptide3Log2FC","SigPeptide4Log2FC","SigPeptide5Log2FC","SigPeptide6Log2FC"
"72","1","0","0","0","0","0","0","128","UBL7","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"UBL7_HUMAN","SigPrize","Ubiquitin-like protein 7 (Bone marrow stromal cell ubiquitin-like protein) (BMSC-UbP) (Ubiquitin-like protein SB132)","false","false","UBL7_HUMAN","0.0|-0.138089|0.11154|-0.224166|6.11E-4|-0.045896|0.027611|0.570026",,,,,
"73","-1","0","0","0","0","0","0","128","HIPK3","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"HIPK3_HUMAN","SigPrize","Homeodomain-interacting protein kinase 3 (EC 2.7.11.1) (Androgen receptor-interacting nuclear protein kinase) (ANPK) (Fas-interacting serine/threonine-protein kinase) (FIST) (Homolog of protein kinase YAK1)","false","false","HIPK3_HUMAN","0.0|-0.438712|-0.284239|-0.215966|-0.398505|-0.263824|-0.307184|-0.485218",,,,,
"74",,,,,,,,"2","TJP1","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.293889|-0.034757|0.086227|0.20613|0.52619|0.587165|0.861856",,,,,,,,,"ZO1_HUMAN","InsigPrize","Tight junction protein ZO-1 (Tight junction protein 1) (Zona occludens protein 1) (Zonula occludens protein 1)","false","false","ZO1_HUMAN",,,,,,
"75",,,,,,,,"2","ZNF318","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.092888|-0.24818|-0.486765|-0.679445|-0.355962|-0.403665|-1.013166","0.0|0.056006|0.712152|0.054259|0.232716|0.068527|0.236893|-0.125583","0.0|0.147126|0.261296|0.090848|0.306371|0.146961|0.314501|-0.204206",,,,,,,"ZN318_HUMAN","InsigPrize","Zinc finger protein 318 (Endocrine regulatory protein)","false","false","ZN318_HUMAN",,,,,,
"76",,,,,,,,"2","ZMYM4","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|0.064888|0.170846|-0.395359|-0.441014|-0.540912|-0.537097|0.019503",,,,,,,,,"ZMYM4_HUMAN","InsigPrize","Zinc finger MYM-type protein 4 (Zinc finger protein 262)","false","false","ZMYM4_HUMAN",,,,,,
"77","0","0","0","0","-1","0","0","4","ZKSCAN1","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"ZKSC1_HUMAN","SigPrize","Zinc finger protein with KRAB and SCAN domains 1 (Zinc finger protein 139) (Zinc finger protein 36) (Zinc finger protein KOX18)","false","false","ZKSC1_HUMAN","0.0|-0.358475|-0.651325|-0.487914|-0.43032|-0.323993|-0.461584|-0.483004",,,,,
"78","0","1","0","1","0","0","1","8","ZNF280C","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"Z280C_HUMAN","SigPrize","Zinc finger protein 280C (Suppressor of hairy wing homolog 3) (Zinc finger protein 633)","false","false","Z280C_HUMAN","0.0|-0.095643|0.20935|0.73|0.790678|0.857331|0.447182|0.582627",,,,,
"79",,,,,,,,"2","XRN2","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|0.084824|0.035284|-0.031749|-0.066681|0.100816|0.100005|0.020259","0.0|0.132052|0.164848|-0.098198|-0.291353|0.01707|0.191686|0.310781","0.0|0.269012|0.511446|0.18001|-0.087602|0.133469|-0.285279|-0.752187",,,,,,,"XRN2_HUMAN","InsigPrize","5'-3' exoribonuclease 2 (EC 3.1.13.-) (DHM1-like protein) (DHP protein)","false","false","XRN2_HUMAN",,,,,,
"80",,,,,,,,"2","STK39","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.187264|1.044181|0.092279|-0.067435|0.336519|0.281191|0.602439",,,,,,,,,"STK39_HUMAN","InsigPrize","STE20/SPS1-related proline-alanine-rich protein kinase (Ste-20-related kinase) (EC 2.7.11.1) (DCHT) (Serine/threonine-protein kinase 39)","false","false","STK39_HUMAN",,,,,,
"81",,"0","0","0","0",,"0","64","ZC3H4","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.319134|0.052002|-0.236131|-0.363983|-0.453566|-0.409856|-0.856644",,,,,,,,,"ZC3H4_HUMAN","InsigPrize","Zinc finger CCCH domain-containing protein 4","false","false","ZC3H4_HUMAN",,,,,,
